name,party,district,chamber,email,capitol_voice
Alyse Galvin,Independent,14,House,representative.alyse.galvin@akleg.gov,907-269-0190
Andi Story,Democratic,3,House,representative.andi.story@akleg.gov,
Andrew Gray,Democratic,20,House,representative.andrew.gray@akleg.gov,907-269-0123
Andy Josephson,Democratic,13,House,representative.andy.josephson@akleg.gov,907-269-0265
Ashley Carrick,Democratic,35,House,representative.ashley.carrick@akleg.gov,907-452-6084
Becky Schwanke,Republican,36,House,representative.rebecca.schwanke@akleg.gov,
Bert Stedman,Republican,A,Senate,senator.bert.stedman@akleg.gov,907-225-8088
Bill Elam,Republican,8,House,representative.bill.elam@akleg.gov,
Bill Wielechowski,Democratic,K,Senate,senator.bill.wielechowski@akleg.gov,907-269-0120
Bryce Edgmon,Independent,37,House,representative.bryce.edgmon@akleg.gov,907-269-0275
Calvin Schrage,Independent,12,House,representative.calvin.schrage@akleg.gov,907-269-0205
Carolyn Hall,Democratic,16,House,representative.carolyn.hall@akleg.gov,
Cathy Giessel,Republican,E,Senate,senator.cathy.giessel@akleg.gov,907-269-0181
Cathy Tilton,Republican,26,House,representative.cathy.tilton@akleg.gov,907-373-6298
Chuck Kopp,Republican,10,House,representative.chuck.kopp@akleg.gov,907-269-0200
Dan Saddler,Republican,24,House,representative.dan.saddler@akleg.gov,907-334-2630
David Nelson,Republican,18,House,representative.david.nelson@akleg.gov,907-269-0216
DeLena Johnson,Republican,25,House,representative.delena.johnson@akleg.gov,907-376-4958
Donna Mears,Democratic,21,House,representative.donna.mears@akleg.gov,907-269-0100
Donny Olson,Democratic,T,Senate,senator.donald.olson@akleg.gov,
Elexie Moore,Republican,28,House,representative.elexie.moore@akleg.gov,
Elvi Gray-Jackson,Democratic,G,Senate,senator.elvi.gray-jackson@akleg.gov,907-269-0174
Forrest Dunbar,Democratic,J,Senate,senator.forrest.dunbar@akleg.gov,907-269-0246
Frank Tomaszewski,Republican,34,House,representative.frank.tomaszewski@akleg.gov,907-456-8172
Gary Stevens,Republican,C,Senate,senator.gary.stevens@akleg.gov,907-486-4925
Genevieve Mina,Democratic,19,House,representative.genevieve.mina@akleg.gov,907-269-0144
George Rauscher,Republican,29,House,representative.george.rauscher@akleg.gov,907-373-6287
James Kaufman,Republican,F,Senate,senator.james.kaufman@akleg.gov,907-269-0244
Jamie Allard,Republican,23,House,representative.jamie.allard@akleg.gov,907-269-0250
Jeremy Bynum,Republican,1,House,representative.jeremy.bynum@akleg.gov,
Jesse Bjorkman,Republican,D,Senate,senator.jesse.bjorkman@akleg.gov,907-283-7996
Jesse Kiehl,Democratic,B,Senate,senator.jesse.kiehl@akleg.gov,
Jubilee Underwood,Republican,27,House,representative.jubilee.underwood@akleg.gov,
Julie Coulombe,Republican,11,House,representative.julie.coulombe@akleg.gov,907-269-0222
Justin Ruffridge,Republican,7,House,representative.justin.ruffridge@akleg.gov,907-465-2693
Kelly Merrick,Republican,L,Senate,senator.kelly.merrick@akleg.gov,907-269-3630
Kevin McCabe,Republican,30,House,representative.kevin.mccabe@akleg.gov,907-376-2679
Ky Holland,Nonpartisan,9,House,representative.ky.holland@akleg.gov,
Löki Tobin,Democratic,I,Senate,senator.loki.tobin@akleg.gov,907-269-0169
Louise Stutes,Republican,5,House,representative.louise.stutes@akleg.gov,907-486-8872
Lyman Hoffman,Democratic,S,Senate,senator.lyman.hoffman@akleg.gov,
Matt Claman,Democratic,H,Senate,senator.matt.claman@akleg.gov,907-269-0130
Maxine Dibert,Democratic,31,House,representative.maxine.dibert@akleg.gov,907-451-4347
Mia Costello,Republican,15,House,representative.mia.costello@akleg.gov,
Mike Cronk,Republican,R,Senate,senator.mike.cronk@akleg.gov,
Mike Prax,Republican,33,House,representative.mike.prax@akleg.gov,907-451-2723
Mike Shower,Republican,O,Senate,senator.mike.shower@akleg.gov,907-376-3370
Neal Foster,Democratic,39,House,representative.neal.foster@akleg.gov,907-443-5036
Nellie Jimmie,Democratic,38,House,representative.nellie.unangiq.jimmie@akleg.gov,
Rebecca Himschoot,Independent,2,House,representative.rebecca.himschoot@akleg.gov,
Rob Yundt,Republican,N,Senate,senator.robert.yundt@akleg.gov,
Robert Myers,Republican,Q,Senate,senator.robert.myers@akleg.gov,907-451-2157
Robyn Burke,Democratic,40,House,representative.robyn.burke@akleg.gov,
Sara Hannan,Democratic,4,House,representative.sara.hannan@akleg.gov,
Sarah Vance,Republican,6,House,representative.sarah.vance@akleg.gov,
Scott Kawasaki,Democratic,P,Senate,senator.scott.kawasaki@akleg.gov,907-456-7423
Shelley Hughes,Republican,M,Senate,senator.shelley.hughes@akleg.gov,907-376-3725
Ted Eischeid,Democratic,22,House,representative.ted.eischeid@akleg.gov,
Will Stapp,Republican,32,House,representative.will.stapp@akleg.gov,907-452-1088
Zack Fields,Democratic,17,House,representative.zack.fields@akleg.gov,907-269-0106
