name,party,district,chamber,email,capitol_voice
Adline Clarke,Democratic,97,House,adline.clarke@alhouse.gov,
Alan Baker,Republican,66,House,staterep@co.escambia.al.us,
Allen Treadaway,Republican,51,House,allen.treadaway@alhouse.gov,
Andrew Jones,Republican,10,Senate,andrew.jones@alsenate.gov,
Andy Whitt,Republican,6,House,andy.whitt@alhouse.gov,
Anthony Daniels,Democratic,53,House,anthony.daniels@alhouse.gov,256-539-5441
April Weaver,Republican,14,Senate,april.weaver@alsenate.gov,
Arnold Mooney,Republican,43,House,arnold.mooney@alhouse.gov,205-620-6610
Arthur Orr,Republican,3,Senate,arthur.orr@alsenate.gov,
A.J. McCampbell,Democratic,71,House,artis.mccampbell@alhouse.gov,
Barbara Boyd,Democratic,32,House,barbara.boyd@alhouse.gov,
Barbara Drummond,Democratic,103,House,drummondbarbara@att.net,251-208-5481
Ben Harrison,Republican,2,House,votebenharrison@gmail.com,256-614-9087
Ben Robbins,Republican,33,House,ben.robbins@alhouse.gov,205-907-5091
Berry Forte,Democratic,84,House,berry.forte@alhouse.gov,
Bill Lamb,Republican,62,House,lambbama@gmail.com,205-361-5262
Bob Fincher,Republican,37,House,rsfincher77@gmail.com,256-201-0154
Bobby Singleton,Democratic,24,Senate,bsingle362@gmail.com,
Brett Easterbrook,Republican,65,House,brett@bretteasterbrook.com,
Brock Colvin,Republican,26,House,brock.colvin@alhouse.gov,256-582-0619
Bryan Brinyark,Republican,16,House,bryan.brinyark@alhouse.gov,205-759-5773
Chad Robertson,Republican,40,House,chadrobertsond40@gmail.com,256-201-1116
Chip Brown,Republican,105,House,chip@chipbrown2018.com,334-261-0447
Chris Blackshear,Republican,80,House,chris.blackshear@alhouse.gov,
Chris Elliott,Republican,32,Senate,chris.elliott@alsenate.gov,
Chris England,Democratic,70,House,cengland1@hotmail.com,205-248-5140
Chris Pringle,Republican,101,House,chris.pringle@alhouse.gov,
Chris Sells,Republican,90,House,csea@centurytel.net,334-261-0568
Clyde Chambliss,Republican,30,Senate,clyde.chambliss@alsenate.gov,
Corey Harbison,Republican,12,House,corey_harbison@yahoo.com,
Corley Ellis,Republican,41,House,corley.ellis@alhouse.gov,
Craig Lipscomb,Republican,30,House,craig.lipscomb@alhouse.gov,334-501-7133
Curtis Travis,Democratic,72,House,cltravis620@charter.net,205-349-9183
Cynthia Almond,Republican,63,House,cynthia.almond@alhouse.gov,205-523-0198
Dan Roberts,Republican,15,Senate,dan.roberts@alsenate.gov,
