name,party,district,chamber,email,district_voice
Aaron Marquez,Democratic,5,House,amarquez@azleg.gov,
Alexander Kolodin,Republican,3,House,akolodin@azleg.gov,
Alma Hernández,Democratic,20,House,ahernandez@azleg.gov,
Analise Ortiz,Democratic,24,Senate,analise.ortiz@azleg.gov,
Anna Abeytia,Democratic,24,House,aabeytia@azleg.gov,
Betty Villegas,Democratic,20,House,bvillegas@azleg.gov,
Beverly Pingerelli,Republican,28,House,bpingerelli@azleg.gov,
Brian Fernandez,Democratic,23,Senate,bfernandez@azleg.gov,
Brian Garcia,Democratic,8,House,bgarcia@azleg.gov,
Carine Werner,Republican,4,Senate,cwerner@azleg.gov,
Catherine Miranda,Democratic,11,Senate,cmiranda@azleg.gov,
Cesar Aguilar,Democratic,26,House,caguilar@azleg.gov,
Chris Lopez,Republican,16,House,clopez@azleg.gov,
Chris Mathis,Democratic,18,House,cmathis@azleg.gov,
Consuelo Hernandez,Democratic,21,House,chernandez@azleg.gov,
Dave Farnsworth,Republican,10,Senate,dfarnsworth@azleg.gov,
David Gowan,Republican,19,Senate,dgowan@azleg.gov,
David Livingston,Republican,28,House,dlivingston@azleg.gov,
David Marshall,Republican,7,House,dmarshall@azleg.gov,
Mitzi Epstein,Democratic,12,Senate,mepstein@azleg.gov,
Elda Luna-Nájera,Democratic,22,House,eluna-najera@azleg.gov,
Eva Diaz,Democratic,22,Senate,eva.diaz@azleg.gov,
Flavio Bravo,Democratic,26,Senate,fbravo@azleg.gov,
Frank Carroll,Republican,28,Senate,fcarroll@azleg.gov,
Gail Griffin,Republican,19,House,ggriffin@azleg.gov,
Hildy Angius,Republican,30,Senate,hangius@azleg.gov,
Jake Hoffman,Republican,15,Senate,jake.hoffman@azleg.gov,
James Taylor,Republican,29,House,jtaylor@azleg.gov,
Janae Shamp,Republican,29,Senate,jshamp@azleg.gov,
Janeen Connolly,Democratic,8,House,jconnolly@azleg.gov,
J.D. Mesnard,Republican,13,Senate,jmesnard@azleg.gov,
Jeff Weninger,Republican,13,House,jweninger@azleg.gov,
John Gillette,Republican,30,House,jgillette@azleg.gov,
John Kavanagh,Republican,3,Senate,jkavanagh@azleg.gov,
Joseph Chaplik,Republican,3,House,jchaplik@azleg.gov,
Julie Willoughby,Republican,13,House,jwilloughby@azleg.gov,
Junelle Cavero,Democratic,11,House,jcavero@azleg.gov,
Justin Olson,Republican,10,House,jolson@azleg.gov,
Justin Wilmeth,Republican,2,House,jwilmeth@azleg.gov,
Kevin Payne,Republican,27,Senate,kpayne@azleg.gov,
Kevin Volk,Democratic,17,House,kvolk@azleg.gov,
Khyl Powell,Republican,14,House,kpowell@azleg.gov,
Lauren Kuby,Democratic,8,Senate,lkuby@azleg.gov,
Laurin Hendrix,Republican,14,House,lhendrix@azleg.gov,
Lela Alston,Democratic,5,Senate,lalston@azleg.gov,
Leo Biasiucci,Republican,30,House,lbiasiucci@azleg.gov,
Lisa Fink,Republican,27,House,lfink@azleg.gov,
Lorena Austin,Democratic,9,House,laustin@azleg.gov,
Lupe Contreras,Democratic,22,House,lcontreras@azleg.gov,
Lupe Diaz,Republican,19,House,ldiaz@azleg.gov,
Lydia Hernandez,Democratic,24,House,lhernandez@azleg.gov,
Mae Peshlakai,Democratic,6,House,mpeshlakai@azleg.gov,
Mariana Sandoval,Democratic,23,House,msandoval@azleg.gov,
Mark Finchem,Republican,1,Senate,mfinchem@azleg.gov,
Matt Gress,Republican,4,House,mgress@azleg.gov,
Michael Carbone,Republican,25,House,mcarbone@azleg.gov,
Michael Way,Republican,15,House,mway@azleg.gov,
Michele Peña,Republican,23,House,mpena@azleg.gov,
Myron Tsosie,Democratic,6,House,mtsosie@azleg.gov,
Nancy Gutierrez,Democratic,18,House,ngutierrez@azleg.gov,
Neal Carter,Republican,15,House,ncarter@azleg.gov,
Nick KSenate,Republican,25,House,nkSenate@azleg.gov,
Oscar De Los Santos,Democratic,11,House,odelossantos@azleg.gov,
Pamela Carter,Republican,4,House,pcarter@azleg.gov,
Patty Contreras,Democratic,12,House,pcontreras@azleg.gov,
Priya Sundareshan,Democratic,18,Senate,psundareshan@azleg.gov,
Quang Nguyen,Republican,1,House,qnguyen@azleg.gov,
Quantá Crews,Democratic,26,House,qcrews@azleg.gov,
Rachel Keshel,Republican,17,House,rkeshel@azleg.gov,
Ralph Heap,Republican,10,House,rheap@azleg.gov,
Rosanna Gabaldón,Democratic,21,Senate,rgabaldon@azleg.gov,
Sally Gonzales,Democratic,20,Senate,sgonzales@azleg.gov,
Sarah Liguori,Democratic,5,House,sliguori@azleg.gov,
Selina Bliss,Republican,1,House,sbliss@azleg.gov,
Seth Blattman,Democratic,9,House,sblattman@azleg.gov,
Shawnna Bolick,Republican,2,Senate,sbolick@azleg.gov,
Stacey Travers,Democratic,12,House,stravers@azleg.gov,
Stephanie Stahl Hamilton,Democratic,21,House,sstahlhamilton@azleg.gov,
Stephanie Simacek,Democratic,2,House,ssimacek@azleg.gov,
Steve Montenegro,Republican,29,House,smontenegro@azleg.gov,
Teresa Martinez,Republican,16,House,tmartinez@azleg.gov,
Theresa Hatathlie,Democratic,6,Senate,thatathlie@azleg.gov,
T.J. Shope,Republican,16,Senate,tshope@azleg.gov,
Tim Dunn,Republican,25,Senate,tdunn@azleg.gov,
Tony Rivero,Republican,27,House,trivero@azleg.gov,
Vince Leach,Republican,17,Senate,vleach@azleg.gov,
Walt Blackman,Republican,7,House,wblackman@azleg.gov,
Warren Petersen,Republican,14,Senate,wpetersen@azleg.gov,
Wendy Rogers,Republican,7,Senate,wrogers@azleg.gov,
