name,party,district,chamber,email,capitol_voice
Aisha Wahab,Democratic,10,Senate,senator.wahab@senate.ca.gov,510-794-3900
Akilah Weber,Democratic,39,Senate,senator.weber@senate.ca.gov,619-688-6700
Al Muratsuchi,Democratic,66,House,assemblymember.muratsuchi@assembly.ca.gov,310-375-0691
Alex Lee,Democratic,24,House,alex.lee@asm.ca.gov,408-262-2501
Ali Macedo,Republican,33,House,assemblymember.macedo@assembly.ca.gov,559-636-3440
Anamarie Avila Farias,Democratic,15,House,assemblymember.avilafarias@assembly.ca.gov,925-521-1511
Angelique Ashby,Democratic,8,Senate,senator.ashby@senate.ca.gov,916-651-1529
Anna Caballero,Democratic,14,Senate,senator.caballero@senate.ca.gov,209-726-5495
Ash Kalra,Democratic,25,House,assemblymember.kalra@assembly.ca.gov,408-286-2535
Avelino Valencia,Democratic,68,House,assemblymember.valencia@assembly.ca.gov,714-939-8469
Ben Allen,Democratic,24,Senate,senator.allen@senate.ca.gov,310-414-8190
Bill Essayli,Republican,63,House,assemblymember.essayli@assembly.ca.gov,951-277-3639
Blanca Rubio,Democratic,48,House,assemblymember.rubio@assembly.ca.gov,626-960-4457
Blanca Pacheco,Democratic,64,House,assemblymember.pacheco@assembly.ca.gov,562-861-5803
Bob Archuleta,Democratic,30,Senate,senator.archuleta@senate.ca.gov,562-406-1001
Brian Jones,Republican,40,Senate,senator.jones@senate.ca.gov,760-796-4655
Buffy Wicks,Democratic,14,House,assemblymember.wicks@assembly.ca.gov,510-286-1400
Carl DeMaio,Republican,75,House,assemblymember.demaio@assembly.ca.gov,858-566-7538
Caroline Menjivar,Democratic,20,Senate,senator.menjivar@senate.ca.gov,818-901-5588
Catherine Blakespear,Democratic,38,Senate,catherine.blakespear@sen.ca.gov,949-598-5850
Catherine Stefani,Democratic,19,House,assemblymember.stefani@assembly.ca.gov,415-557-2312
Cecilia Aguiar-Curry,Democratic,4,House,assemblymember.aguiar-curry@assembly.ca.gov,530-757-1034
Celeste Rodriguez,Democratic,43,House,assemblymember.celesterodriguez@assembly.ca.gov,818-504-3911
