name,party,district,chamber,email,capitol_voice
Alex Valdez,Democratic,5,House,alex.valdez.house@coleg.gov,
Amy Paschal,Democratic,18,House,amy.paschal.house@coleg.gov,
Andy Boesenecker,Democratic,53,House,andrew.boesenecker.house@coleg.gov,
Tony Hartsook,Republican,44,House,anthony.hartsook.house@coleg.gov,
Barbara Kirkmeyer,Republican,23,Senate,barbara.kirkmeyer.senate@coleg.gov,
Bob Marshall,Democratic,43,House,bob.marshall.house@coleg.gov,
Brandi Bradley,Republican,39,House,brandi.bradley.house@coleg.gov,
Brianna Titone,Democratic,27,House,brianna.titone.house@coleg.gov,
Byron Pelton,Republican,1,Senate,byron.pelton.senate@coleg.gov,
Carlos Barron,Republican,48,House,carlos.barron.house@coleg.gov,
Cathy Kipp,Democratic,14,Senate,cathy.kipp.senate@coleg.gov,
Cecelia Espenoza,Democratic,4,House,cecelia.espenoza.house@coleg.gov,
Chad Clifford,Democratic,37,House,chad.clifford.house@coleg.gov,
Chris Kolker,Democratic,16,Senate,chris.kolker.senate@coleg.gov,
Chris Richardson,Republican,56,House,chris.richardson.house@coleg.gov,
Cleave Simpson,Republican,6,Senate,cleave.simpson.senate@coleg.gov,
Dafna Michaelson Jenet,Democratic,21,Senate,dafna.michaelson.jenet.senate@coleg.gov,
Dan Woog,Republican,19,House,dan.woog.house@coleg.gov,
Dusty Johnson,Republican,63,House,dustyforcolorado@gmail.com,
Dylan Roberts,Democratic,8,Senate,dylan.roberts.senate@coleg.gov,
Eliza Hamrick,Democratic,61,House,eliza.hamrick.house@coleg.gov,
Elizabeth Velasco,Democratic,57,House,elizabeth.velasco.house@coleg.gov,
Emily Sirota,Democratic,9,House,emily.sirota.house@coleg.gov,
Faith Winter,Democratic,25,Senate,faith.winter.senate@coleg.gov,
Gretchen Rydin,Democratic,38,House,gretchen.rydin.house@coleg.gov,
Iman Jodeh,Democratic,29,Senate,iman.jodeh.senate@coleg.gov,
Jacque Phillips,Democratic,31,House,jacqueline.phillips.house@coleg.gov,
James Coleman,Democratic,33,Senate,james.coleman.senate@coleg.gov,
Jamie Jackson,Democratic,41,House,jamie.jackson.house@coleg.gov,
Janice Marchman,Democratic,15,Senate,janice.marchman.senate@coleg.gov,
Janice Rich,Republican,7,Senate,janicerichsd7@gmail.com,
Jarvis Caldwell,Republican,20,House,jarvis.caldwell.house@coleg.gov,
Javier Mabrey,Democratic,1,House,javier.mabrey.house@coleg.gov,
Jeff Bridges,Democratic,26,Senate,jeff.bridges.senate@coleg.gov,
Jennifer Bacon,Democratic,7,House,jennifer.bacon.house@coleg.gov,
Jenny Willford,Democratic,34,House,jenny.willford.house@coleg.gov,
Jessie Danielson,Democratic,22,Senate,jessie.danielson.senate@coleg.gov,
John Carson,Republican,30,Senate,john.carson.senate@coleg.gov,
Judy Amabile,Democratic,18,Senate,judy.amabile.senate@coleg.gov,
Julie Gonzales,Democratic,34,Senate,julie.gonzales.senate@coleg.gov,
Julie McCluskie,Democratic,13,House,julie.mccluskie.house@coleg.gov,
