name,party,district,chamber,email,capitol_voice
Aimee Berger-Girvalo,Democratic,111,House,aimee.berger-girvalo@cga.ct.gov,
Al Paolillo,Democratic,97,House,alphonse.paolillo@cga.ct.gov,
Amy Morrin Bello,Democratic/Working Families,28,House,amy.morrinbello@cga.ct.gov,
Andre Baker,Democratic,124,House,andre.baker@cga.ct.gov,
Anne Dauphinais,Republican,44,House,anne.dauphinais@housegop.ct.gov,
Anne Hughes,Democratic,135,House,anne.hughes@cga.ct.gov,
Anthony Nolan,Democratic,39,House,anthony.nolan@cga.ct.gov,
Antonio Felipe,Democratic,130,House,antonio.felipe@cga.ct.gov,
Arnie Jensen,Republican,131,House,arnold.jensen@housegop.ct.gov,
Aundré Bumgardner,Democratic/Working Families,41,House,aundre.bumgardner@cga.ct.gov,
Ben McGorty,Republican,122,House,ben.mcgorty@cga.ct.gov,
Billy Buckbee,Republican,67,House,bill.buckbee@housegop.ct.gov,
Bill Heffernan,Democratic,115,House,bill.heffernan@cga.ct.gov,
Bob Duff,Democratic,25,Senate,duff@senatedems.ct.gov,
Bob Godfrey,Democratic,110,House,bob.godfrey@cga.ct.gov,
Bobby Gibson,Democratic,15,House,bobby.gibson@cga.ct.gov,
Brandon Chafee,Democratic/Working Families,33,House,brandon.chafee@cga.ct.gov,
Brian Lanoue,Republican,45,House,brian.lanoue@cga.ct.gov,
Cara Pavalock-D'Amato,Republican,77,House,cara.pavalock@housegop.ct.gov,
Carol Hall,Republican,59,House,carol.hall@housegop.ct.gov,
Cathy Osten,Democratic,19,Senate,osten@senatedems.ct.gov,
Ceci Maher,Democratic,26,Senate,ceci.maher@cga.ct.gov,
Chris Aniskovich,Republican,35,House,chris.aniskovich@housegop.ct.gov,
Chris Stewart,Republican,51,House,chris.stewart@housegop.ct.gov,
Christie Carpino,Republican,32,House,christie.carpino@housegop.ct.gov,
Christine Cohen,Democratic,12,Senate,christine.cohen@cga.ct.gov,
Chris Poulos,Democratic,81,House,chris.poulos@cga.ct.gov,
Christopher Rosario,Democratic,128,House,christopher.rosario@cga.ct.gov,
Corey Paris,Democratic,145,House,corey.paris@cga.ct.gov,
Craig Fishbein,Republican,90,House,craig.fishbein@housegop.ct.gov,
Cristin McCarthy Vahey,Democratic,133,House,cristin.mccarthyvahey@cga.ct.gov,
Dave DeFronzo,Democratic/Working Families,26,House,dave.defronzo@cga.ct.gov,
Dave Yaccarino,Republican,87,House,dave.yaccarino@housegop.ct.gov,
Dave Rutigliano,Republican,123,House,dave.rutigliano@housegop.ct.gov,
Derek Slap,Democratic,5,Senate,derek.slap@cga.ct.gov,
Derell Wilson,Democratic/Working Families,46,House,derell.wilson@cga.ct.gov,
Devin Carney,Republican,23,House,devin.carney@housegop.ct.gov,
Dominique Johnson,Democratic/Working Families,143,House,dominique.johnson@cga.ct.gov,
Donna Veach,Republican,30,House,donna.veach@housegop.ct.gov,
Doug Dubitsky,Republican,47,House,doug.dubitsky@housegop.ct.gov,
Doug McCrory,Democratic,2,Senate,douglas.mccrory@cga.ct.gov,
Eilish Collins Main,Democratic,146,House,eilish.collinsmain@cga.ct.gov,
Eleni DeGraw,Democratic/Working Families,17,House,elenikavros.degraw@cga.ct.gov,
Manny Sanchez,Democratic/Working Families,24,House,emmanuel.sanchez@cga.ct.gov,
Eric Berthel,Republican,32,Senate,eric.berthel@cga.ct.gov.,
