name,party,district,chamber,email,capitol_voice
Brian Pettyjohn,Republican,19,Senate,brian.pettyjohn@delaware.gov,
Bryan Townsend,Democratic,11,Senate,bryan.townsend@delaware.gov,
Bryan Shupe,Republican,36,House,bryan.shupe@delaware.gov,
Bryant Richardson,Republican,21,Senate,bryant.richardson@delaware.gov,
Charles Postles,Republican,33,House,charles.postles@delaware.gov,
Claire Snyder-Hall,Democratic,14,House,claire.snyder-hall@delaware.gov,
Cyndie Romer,Democratic,25,House,cyndie.romer@delaware.gov,
Danny Short,Republican,39,House,daniel.short@delaware.gov,
Darius Brown,Democratic,2,Senate,darius.brown@delaware.gov,
Dave Lawson,Republican,15,Senate,dave.lawson@delaware.gov,
Dave Wilson,Republican,18,Senate,david.l.wilson@delaware.gov,
Dave Sokola,Democratic,8,Senate,david.sokola@delaware.gov,
DeShanna Neal,Democratic,13,House,deshanna.neal@delaware.gov,
Debra Heffernan,Democratic,6,House,debra.heffernan@delaware.gov,
Ed Osienski,Democratic,24,House,edward.osienski@delaware.gov,
Eric Buckson,Republican,16,Senate,eric.buckson@delaware.gov,
Eric Morrison,Democratic,27,House,eric.morrison@delaware.gov,
Frank Burns,Democratic,21,House,frank.burns@delaware.gov,
Frank Cooke,Democratic,16,House,franklind.cooke@delaware.gov,
Gerald Hocker,Republican,20,Senate,gerald.hocker@delaware.gov,
Jeff Hilovsky,Republican,4,House,jeff.hilovsky@delaware.gov,
Jeff Spiegelman,Republican,11,House,jeff.spiegelman@delaware.gov,
Jesse Vanderwende,Republican,35,House,jesse.vanderwende@delaware.gov,
Jack Walsh,Democratic,9,Senate,john.walsh@delaware.gov,
Josue Ortega,Democratic,3,House,josue.ortega@delaware.gov,
Kam Smith,Democratic,15,House,kamela.smith@delaware.gov,
Kendra Johnson,Democratic,5,House,kendra.johnson@delaware.gov,
Kerri Harris,Democratic,32,House,kerrievelyn.harris@delaware.gov,
Kevin Hensley,Republican,9,House,kevin.hensley@delaware.gov,
Kim Williams,Democratic,19,House,kimberly.williams@delaware.gov,
Krista Griffith,Democratic,12,House,krista.griffith@delaware.gov,
Kyra Hoffner,Democratic,14,Senate,kyra.hoffner@delaware.gov,
Larry Lambert,Democratic,7,House,larry.lambert@delaware.gov,
Laura Sturgeon,Democratic,4,Senate,laura.sturgeon@delaware.gov,
Lyndon Yearick,Republican,34,House,lyndon.yearick@delaware.gov,
Madinah Wilson-Anton,Democratic,26,House,madinah.wilson-anton@delaware.gov,
Mara Gorman,Democratic,23,House,mara.gorman@delaware.gov,
Marie Pinkney,Democratic,13,Senate,marie.pinkney@delaware.gov,
Melanie Ross Levin,Democratic,10,House,melanie.rosslevin@delaware.gov,
Melissa Minor-Brown,Democratic,17,House,melissa.minorbrown@delaware.gov,
Mike Smith,Republican,22,House,michael.f.smith@delaware.gov,
Nicole Poore,Democratic,12,Senate,nicole.poore@delaware.gov,
Nnamdi Chukwuocha,Democratic,1,House,nnamdi.chukwuocha@delaware.gov,
Rich Collins,Republican,41,House,rich.collins@delaware.gov,
Ron Gray,Republican,38,House,ronald.gray@delaware.gov,
Russ Huxtable,Democratic,6,Senate,russell.huxtable@delaware.gov,
Tizzy Lockman,Democratic,3,Senate,elizabeth.lockman@delaware.gov,
Sean Lynn,Democratic,31,House,sean.lynn@delaware.gov,
Rae Moore,Democratic,8,House,rae.moore@delaware.gov,
Sophie Phillips,Democratic,18,House,sophie.phillips@delaware.gov,
Spiros Mantzavinos,Democratic,7,Senate,spiros.mantzavinos@delaware.gov,
Stell Selby,Democratic,20,House,stell.parkerselby@delaware.gov,
Stephanie Hansen,Democratic,10,Senate,stephanie.hansen@delaware.gov,
Stephanie Bolden,Democratic,2,House,stephaniet.bolden@delaware.gov,
Tim Dukes,Republican,40,House,timothy.dukes@delaware.gov,
Trey Paradee,Democratic,17,Senate,trey.paradee@delaware.gov,
Valerie Giltner,Republican,37,House,valerie.jonesgiltner@delaware.gov,
Shannon Morris,Republican,30,House,shannon.morris@delaware.gov,
Bill Bush,Democratic,29,House,william.bush@delaware.gov,
Bill Carson,Democratic,28,House,william.carson@delaware.gov,
