name,party,district,chamber,email,capitol_voice
Adam Anderson,Republican,57,House,adam.anderson@flhouse.gov,727-722-7000
Adam Botana,Republican,80,House,adam.botana@flhouse.gov,239-949-6279
Alex Rizo,Republican,112,House,alex.rizo@flhouse.gov,305-364-3114
Alexis Calatayud,Republican,38,Senate,calatayud.alexis.web@flsenate.gov,305-596-3002
Allison Tant,Democratic,9,House,allison.tant@flhouse.gov,
Ana Maria Rodriguez,Republican,40,Senate,rodriguez.anamaria.web@flsenate.gov,305-470-2552
Angie Nixon,Democratic,13,House,angela.nixon@flhouse.gov,904-381-6013
Anna Eskamani,Democratic,42,House,anna.eskamani@flhouse.gov,407-228-1451
Anne Gerwig,Republican,93,House,anne.gerwig@flhouse.gov,
Ashley Gantt,Democratic,109,House,ashley.gantt@flhouse.gov,786-505-1081
Barbara Sharief,Democratic,35,Senate,sharief.barbara.web@flsenate.gov,
Ben Albritton,Republican,27,Senate,albritton.ben.web@flsenate.gov,941-575-5717
Berny Jacques,Republican,59,House,berny.jacques@flhouse.gov,727-519-0560
Bill Conerly,Republican,72,House,bill.conerly@flhouse.gov,941-327-0150
Bill Partington,Republican,28,House,bill.partington@flhouse.gov,
Blaise Ingoglia,Republican,11,Senate,ingoglia.blaise.web@flsenate.gov,
Brad Yeager,Republican,56,House,brad.yeager@flhouse.gov,727-841-6977
Bruce Antone,Democratic,41,House,bruce.antone@flhouse.gov,407-297-2001
Bryan Ávila,Republican,39,Senate,avila.bryan.web@flsenate.gov,305-364-3073
Carlos Smith,Democratic,17,Senate,smith.carlos.web@flsenate.gov,
Chad Johnson,Republican,22,House,chad.johnson@flhouse.gov,352-496-3700
Chase Tramont,Republican,30,House,chase.tramont@flhouse.gov,386-944-1010
Chip LaMarca,Republican,100,House,chip.lamarca@flhouse.gov,954-784-4531
Christine Hunschofsky,Democratic,95,House,christine.hunschofsky@flhouse.gov,954-956-5600
Clay Yarborough,Republican,4,Senate,yarborough.clay.web@flsenate.gov,
Colleen Burton,Republican,12,Senate,burton.colleen.web@flsenate.gov,863-413-1529
Corey Simon,Republican,3,Senate,simon.corey.web@flsenate.gov,
Dan Daley,Democratic,96,House,dan.daley@flhouse.gov,954-697-4390
Dana Trabulsy,Republican,84,House,dana.trabulsy@flhouse.gov,772-595-1391
Danny Alvarez,Republican,69,House,danny.alvarez@flhouse.gov,813-768-0940
Daniel Perez,Republican,116,House,daniel.perez@flhouse.gov,305-348-1414
Danny Burgess,Republican,23,Senate,burgess.danny.web@flsenate.gov,813-779-7059
Danny Nix,Republican,75,House,danny.nix@flhouse.gov,
Darryl Rouson,Democratic,16,Senate,rouson.darryl.web@flsenate.gov,727-822-6828
Daryl Campbell,Democratic,99,House,daryl.campbell@flhouse.gov,954-697-4270
David Borrero,Republican,111,House,david.borrero@flhouse.gov,786-336-1022
Dave Smith,Republican,38,House,david.smith@flhouse.gov,407-971-3570
Dean Black,Republican,15,House,dean.black@flhouse.gov,904-548-4920
Debbie Mayfield,Republican,32,House,debbie.mayfield@flhouse.gov,321-497-8200
Debra Tendrich,Democratic,89,House,debra.tendrich@flhouse.gov,561-357-4824
Demi Busatta,Republican,114,House,demi.busatta@flhouse.gov,305-442-6808
Dianne Hart,Democratic,63,House,dianne.hart@flhouse.gov,813-224-1956
Don Gaetz,Republican,1,Senate,gaetz.don.web@flsenate.gov,
Dotie Joseph,Democratic,108,House,dotie.joseph@flhouse.gov,305-892-4296
Doug Bankson,Republican,39,House,doug.bankson@flhouse.gov,407-464-3334
Ed Hooper,Republican,21,Senate,hooper.ed.web@flsenate.gov,727-771-2102
Erika Booth,Republican,35,House,erika.booth@flhouse.gov,
Erin Grall,Republican,29,Senate,grall.erin.web@flsenate.gov,772-595-1398
Fabián Basabe,Republican,106,House,fabian.basabe@flhouse.gov,305-503-3487
Felicia Robinson,Democratic,104,House,felicia.robinson@flhouse.gov,305-488-5490
Fentrice Driskell,Democratic,67,House,fentrice.driskell@flhouse.gov,813-936-0854
Fiona McFarland,Republican,73,House,fiona.mcfarland@flhouse.gov,941-361-2465
Gallop Franklin,Democratic,8,House,gallop.franklin@flhouse.gov,
Gayle Harrell,Republican,31,Senate,harrell.gayle.web@flsenate.gov,772-221-4019
Hillary Cassel,Republican,101,House,hillary.cassel@flhouse.gov,954-872-0180
Ileana Garcia,Republican,36,Senate,garcia.ileana.web@flsenate.gov,305-442-6841
J.J. Grow,Republican,23,House,jj.grow@flhouse.gov,
James Buchanan,Republican,74,House,james.buchanan@flhouse.gov,941-429-4560
Jim Mooney,Republican,120,House,james.mooney@flhouse.gov,305-453-1202
Jason Brodeur,Republican,10,Senate,brodeur.jason.web@flsenate.gov,407-333-1802
Jason Shoaf,Republican,7,House,jason.shoaf@flhouse.gov,850-295-5680
Jason Pizzo,Democratic,37,Senate,pizzo.jason.web@flsenate.gov,954-893-5045
Jay Collins,Republican,14,Senate,collins.jay.web@flsenate.gov,813-281-2538
