name,party,district,chamber,email,district_voice
Al Williams,Democratic,168,House,al.williams@house.ga.gov,
Alan Powell,Republican,33,House,alan.powell@house.ga.gov,
Angela Moore,Democratic,91,House,angela.moore@house.ga.gov,
Angie O'Steen,Republican,169,House,angie.o'steen@house.ga.gov,
Anne Westbrook,Democratic,163,House,anneallen.westbrook@house.ga.gov,
Arlene Beckles,Democratic,96,House,arlene.beckles@house.ga.gov,
Ben Watson,Republican,1,Senate,ben.watson@house.ga.gov,
Beth Camp,Republican,135,House,beth.camp@house.ga.gov,
Bethany Ballard,Republican,147,House,bethany.ballard@house.ga.gov,
Betsy Holland,Democratic,54,House,betsy.holland@house.ga.gov,
Bill Cowsert,Republican,46,Senate,bill.cowsert@senate.ga.gov,
Bill Hitchens,Republican,161,House,bill.hitchens@house.ga.gov,
Bill Werkheiser,Republican,157,House,bill.werkheiser@house.ga.gov,
Bill Yearta,Republican,152,House,bill.yearta@house.ga.gov,
Billy Hickman,Republican,4,Senate,billy.hickman@senate.ga.gov,
Billy Mitchell,Democratic,88,House,billy.mitchell@house.ga.gov,
Blake Tillery,Republican,19,Senate,blake.tillery@senate.ga.gov,
Bo Hatchett,Republican,50,Senate,bo.hatchett@senate.ga.gov,
Brad Thomas,Republican,21,House,brad.thomas@house.ga.gov,678-224-1490
Brandon Beach,Republican,21,Senate,brandon.beach@senate.ga.gov,678-640-1811
Brent Cox,Republican,28,House,brent.cox@house.ga.gov,
Brian Prince,Democratic,132,House,brian.prince@house.ga.gov,
Brian Strickland,Republican,42,Senate,brian.strickland@senate.ga.gov,
Bruce Williamson,Republican,112,House,bruce.williamson@house.ga.gov,
Bryce Berry,Democratic,56,House,bryce.berry@house.ga.gov,
Buddy DeLoach,Republican,167,House,buddy.deloach@house.ga.gov,
Butch Parrish,Republican,158,House,butch.parrish@house.ga.gov,
Carden Summers,Republican,13,Senate,carden.summers@senate.ga.gov,
Carl Gilliard,Democratic,162,House,carl.gilliard@house.ga.gov,
Carmen Rice,Republican,139,House,carmen.rice@house.ga.gov,
Carolyn Hugley,Democratic,141,House,carolyn.hugley@house.ga.gov,
Carter Barrett,Republican,24,House,carter.barrett@house.ga.gov,
Chas Cannon,Republican,172,House,charles.cannon@house.ga.gov,
Charlice Byrd,Republican,20,House,charlice.byrd@house.ga.gov,
Chris Erwin,Republican,32,House,chris.erwin@house.ga.gov,
Chuck Martin,Republican,49,House,chuck.martin@house.ga.gov,
Chuck Efstration,Republican,104,House,chuck.efstration@house.ga.gov,
Chuck Hufstetler,Republican,52,Senate,chuck.hufstetler@senate.ga.gov,
Chuck Payne,Republican,54,Senate,chuck.payne@senate.ga.gov,
Clint Crowe,Republican,118,House,clint.crowe@house.ga.gov,
Clint Dixon,Republican,45,Senate,clint.dixon@senate.ga.gov,
Colton Moore,Republican,53,Senate,colton.moore@senate.ga.gov,
Dale Washburn,Republican,144,House,dale.washburn@house.ga.gov,
Danny Mathis,Republican,133,House,danny.mathis@house.ga.gov,
Darlene Taylor,Republican,173,House,darlene.taylor@house.ga.gov,
Dar'shun Kendrick,Democratic,95,House,darshun.kendrick@house.ga.gov,
David Clark,Republican,100,House,david.clark@house.ga.gov,
David Huddleston,Republican,72,House,david.huddleston@house.ga.gov,
David Jenkins,Republican,136,House,david.jenkins@house.ga.gov,
David Lucas,Democratic,26,Senate,david.lucas@senate.ga.gov,
David Sampson,Democratic,153,House,david.sampson@house.ga.gov,
David Wilkerson,Democratic,38,House,david.wilkerson@house.ga.gov,
Debbie Buckner,Democratic,137,House,debbie.buckner@house.ga.gov,
Deborah Silcox,Republican,53,House,deborah.silcox@house.ga.gov,
Debra Bazemore,Democratic,69,House,debra.bazemore@house.ga.gov,
Demetrius Douglas,Democratic,78,House,demetrius.douglas@house.ga.gov,
Derek Mallow,Democratic,2,Senate,derek.mallow@senate.ga.gov,
Derrick Jackson,Democratic,68,House,derrick.jackson@house.ga.gov,
Derrick McCollum,Republican,30,House,derrick.mccollum@house.ga.gov,
Devan Seabaugh,Republican,34,House,devan.seabaugh@house.ga.gov,
Dewey McClain,Democratic,109,House,dewey.mcclain@house.ga.gov,
Dexter Sharper,Democratic,177,House,dexter.sharper@house.ga.gov,
Don Parsons,Republican,44,House,don.parsons@house.ga.gov,
Donzella James,Democratic,28,Senate,donzella.james@senate.ga.gov,
Doreen Carter,Democratic,93,House,doreen.carter@house.ga.gov,
Drew Echols,Republican,49,Senate,drew.echols@senate.ga.gov,
Ed Harbison,Democratic,15,Senate,ed.harbison@senate.ga.gov,
Ed Setzler,Republican,37,Senate,ed.setzler@senate.ga.gov,
Eddie Lumsden,Republican,12,House,eddie.lumsden@house.ga.gov,
Edna Jackson,Democratic,165,House,edna.jackson@house.ga.gov,
El-Mahdi Holly,Democratic,116,House,el-mahdi.holly@house.ga.gov,
Elena Parent,Democratic,44,Senate,elena.parent@senate.ga.gov,
Emanuel Jones,Democratic,10,Senate,emanuel.jones@senate.ga.gov,
Emory Dunahoo,Republican,31,House,emory.dunahoo@house.ga.gov,
Eric Bell,Democratic,75,House,eric.bell@house.ga.gov,
Esther Panitch,Democratic,51,House,esther.panitch@house.ga.gov,
Floyd Griffin,Democratic,149,House,floyd.griffin@house.ga.gov,
Frank Ginn,Republican,47,Senate,frank.ginn@senate.ga.gov,
Freddie Sims,Democratic,12,Senate,freddie.sims@senate.ga.gov,
Gabe Okoye,Democratic,102,House,gabe.okoye@house.ga.gov,
Gabriel Sanchez,Democratic,42,House,gabriel.sanchez@house.ga.gov,
Gail Davenport,Democratic,17,Senate,gail.davenport@senate.ga.gov,
Gary Richardson,Republican,125,House,gary.richardson@house.ga.gov,
Gerald Greene,Republican,154,House,gerald.greene@house.ga.gov,
Ginny Ehrhart,Republican,36,House,ginny.ehrhart@house.ga.gov,
Greg Dolezal,Republican,27,Senate,greg.dolezal@senate.ga.gov,
Harold Jones,Democratic,22,Senate,harold.jones@senate.ga.gov,
Holt Persinger,Republican,119,House,holt.persinger@house.ga.gov,
Houston Gaines,Republican,120,House,houston.gaines@house.ga.gov,
Imani Barnes,Democratic,86,House,imani.barnes@house.ga.gov,
Inga Willis,Democratic,55,House,inga.willis@house.ga.gov,
Jaclyn Ford,Republican,170,House,jaclyn.ford@house.ga.gov,
James Burchett,Republican,176,House,james.burchett@house.ga.gov,
Jan Jones,Republican,47,House,jan.jones@house.ga.gov,
Jasmine Clark,Democratic,108,House,jasmine.clark@house.ga.gov,
Jason Anavitarte,Republican,31,Senate,jason.anavitarte@senate.ga.gov,
Jason Esteves,Democratic,35,Senate,jason.esteves@senate.ga.gov,
Jason Ridley,Republican,6,House,jason.ridley@house.ga.gov,
Jesse Petrea,Republican,166,House,jesse.petrea@house.ga.gov,
Joe Campbell,Republican,171,House,joe.campbell@house.ga.gov,
John Albers,Republican,56,Senate,john.albers@senate.ga.gov,
John Carson,Republican,46,House,john.carson@house.ga.gov,
John Corbett,Republican,174,House,john.corbett@house.ga.gov,
John Kennedy,Republican,18,Senate,john.kennedy@senate.ga.gov,
John LaHood,Republican,175,House,john.lahood@house.ga.gov,
Johnny Chastain,Republican,7,House,johnny.chastain@house.ga.gov,
Jon Burns,Republican,159,House,jon.burns@house.ga.gov,
Jordan Ridley,Republican,22,House,jordan.ridley@house.ga.gov,
Joseph Gullett,Republican,19,House,joseph.gullett@house.ga.gov,
Josh Bonner,Republican,73,House,josh.bonner@house.ga.gov,
