name,party,district,chamber,email,capitol_voice
Aaron Freeman,Republican,32,Senate,s32@iga.in.gov,
Alaina Shonkwiler,Republican,29,House,h29@iga.in.gov,
Alex Burton,Democratic,77,House,h77@iga.in.gov,
Alex Zimmerman,Republican,67,House,h67@iga.in.gov,
Andrea Hunley,Democratic,46,Senate,s46@iga.in.gov,
Andrew Ireland,Republican,90,House,h90@iga.in.gov,
Andy Zay,Republican,17,Senate,s17@iga.in.gov,
Beau Baird,Republican,44,House,h44@iga.in.gov,
Becky Cash,Republican,25,House,h25@iga.in.gov,
Ben Smaltz,Republican,52,House,h52@iga.in.gov,
Blake Doriot,Republican,12,Senate,s12@iga.in.gov,
Blake Johnson,Democratic,100,House,h100@iga.in.gov,
Brad Barrett,Republican,56,House,h56@iga.in.gov,
Brett Clark,Republican,24,Senate,s24@iga.in.gov,
Brian Buchanan,Republican,7,Senate,s7@iga.in.gov,
Bruce Borders,Republican,45,House,h45@iga.in.gov,
Carey Hamilton,Democratic,87,House,h87@iga.in.gov,
Carolyn Jackson,Democratic,1,House,h1@iga.in.gov,
Chuck Moseley,Democratic,10,House,h10@iga.in.gov,
Cherrish Pryor,Democratic,94,House,h94@iga.in.gov,
Chris Campbell,Democratic,26,House,h26@iga.in.gov,
Chris Garten,Republican,45,Senate,s45@iga.in.gov,
Chris Jeter,Republican,88,House,h88@iga.in.gov,
Chris Judy,Republican,83,House,h83@iga.in.gov,
Chris May,Republican,65,House,h65@iga.in.gov,
Cindy Ledbetter,Republican,75,House,h75@iga.in.gov,
Cory Criswell,Republican,54,House,h54@iga.in.gov,
Craig Haggard,Republican,57,House,h57@iga.in.gov,
Craig Snow,Republican,22,House,h22@iga.in.gov,
Cyndi Carrasco,Republican,36,Senate,s36@iga.in.gov,
Dale DeVon,Republican,5,House,h5@iga.in.gov,
Dan Dernulc,Republican,1,Senate,s1@iga.in.gov,
Danny Lopez,Republican,39,House,h39@iga.in.gov,
Daryl Schmitt,Republican,48,Senate,s48@iga.in.gov,
Dave Hall,Republican,62,House,h62@iga.in.gov,
Dave Heine,Republican,85,House,h85@iga.in.gov,
David Abbott,Republican,18,House,h18@iga.in.gov,
David Niezgodski,Democratic,10,Senate,s10@iga.in.gov,
Doug Miller,Republican,48,House,h48@iga.in.gov,
Earl Harris,Democratic,2,House,h2@iga.in.gov,
Ed Charbonneau,Republican,5,Senate,s5@iga.in.gov,
Ed Soliday,Republican,4,House,h4@iga.in.gov,
Ed Clere,Republican,72,House,h72@iga.in.gov,
Ed DeLaney,Democratic,86,House,h86@iga.in.gov,
Elizabeth Rowray,Republican,35,House,h35@iga.in.gov,
Eric Bassler,Republican,39,Senate,s39@iga.in.gov,
Eric Koch,Republican,44,Senate,s44@iga.in.gov,
Ethan Lawson,Republican,53,House,h53@iga.in.gov,
Ethan Manning,Republican,23,House,h23@iga.in.gov,
Fady Qaddoura,Democratic,30,Senate,s30@iga.in.gov,
Garrett Bascom,Republican,68,House,h68@iga.in.gov,
Gary Byrne,Republican,47,Senate,s47@iga.in.gov,
Greg Goode,Republican,38,Senate,s38@iga.in.gov,
Greg Taylor,Democratic,33,Senate,s33@iga.in.gov,
Greg Walker,Republican,41,Senate,s41@iga.in.gov,
Gregory Porter,Democratic,96,House,h96@iga.in.gov,
Greg Steuerwald,Republican,40,House,h40@iga.in.gov,
Hal Slager,Republican,15,House,h15@iga.in.gov,
Heath VanNatter,Republican,38,House,h38@iga.in.gov,
Hunter Smith,Republican,24,House,h24@iga.in.gov,
J.D. Ford,Democratic,29,Senate,s29@iga.in.gov,
J.D. Prescott,Republican,33,House,h33@iga.in.gov,
Jack Jordan,Republican,17,House,h17@iga.in.gov,
Jake Teshka,Republican,7,House,h7@iga.in.gov,
Jim Buck,Republican,21,Senate,s21@iga.in.gov,
Jim Tomes,Republican,49,Senate,s49@iga.in.gov,
Jean Leising,Republican,42,Senate,s42@iga.in.gov,
Jeff Raatz,Republican,27,Senate,s27@iga.in.gov,
Jeff Thompson,Republican,28,House,h28@iga.in.gov,
Jenny Meltzer,Republican,73,House,h73@iga.in.gov,
